Name	Set	ImageFile	Type	Subtypes	Rarity	Color	Cost	Inkwell	Strength	Willpower	Quest	Abilities	Identifier	Rules	Flavor	Number	Artist
Maximus, Relentless Pursuer	1	17ba0791499db908433b80f37c5fbc89b870084b	Character	["Ally", "Dreamborn"]	UNCOMMON	AMBER	3	True	3	3	1	[]	1 TFC EN 11/204	HORSE KICK When you play this character, chosen character gets –2 this turn.	He pursues his quarry with courage, discipline, and a touch of class.	11	Kendall Hale
Mickey Mouse, True Friend	1	7b52009b64fd0a2a49e6d8a939753077792b0554	Character	["Hero", "Storyborn"]	UNCOMMON	AMBER	3	True	3	3	2	[]	1 TFC EN 12/204		As long as he’s around, newcomers to the Great Illuminary will always get a warm welcome.	12	Dave Beauchene
Minnie Mouse, Beloved Princess	1	bd307a3ec329e10a2cff8fb87480823da114f8f4	Character	["Princess", "Dreamborn"]	COMMON	AMBER	2	True	2	3	1	[]	1 TFC EN 13/204		Wherever the princess goes, her musketeers are. . . well, they’re around somewhere, probably.	13	Kendall Hale
Moana, Of Motunui	1	fa35e192121eabf3dabf9f5ea6abdbcbc107ac3b	Character	["Storyborn", "Princess", "Hero"]	RARE	AMBER	5	True	1	6	3	[]	1 TFC EN 14/204	'WE CAN FIX IT Whenever this character quests, you may ready your other Princess characters. They can''t quest for the rest of this turn.'	I am Moana of Motunui. You will board my boat, sail across the sea, and restore the heart of Te Fiti.	14	Nicholas Kole
Mr. Smee, Loyal First Mate	1	f1abd670358e036c31296e66b3b66c382ac00812	Character	["Ally", "Dreamborn", "Pirate"]	COMMON	AMBER	3	True	2	5	1	[]	1 TFC EN 15/204		Mr. Smee is a kind, gentle soul who lives to bring comfort and aid to a twisted old villain. Now, what good is kindness like that? —Peter Pan	15	Kamil Murzyn / Eri Welli
Prince Phillip, Dragonslayer	1	1574bddb75c78a6fd2251d61e2993b5146201319	Character	["Storyborn", "Prince", "Hero"]	UNCOMMON	AMBER	4	False	3	3	2	[]	1 TFC EN 16/204	HEROISM When this character challenges and is banished, you may banish the challenged character.	The road to true love may be barred by still many more dangers, which you alone will have to face. —Flora	16	Philipp Kruse
Pumbaa, Friendly Warthog	1	0716d9708d321ffb6a00818614779e779925365c	Character	["Ally", "Storyborn"]	COMMON	AMBER	4	True	3	5	1	[]	1 TFC EN 17/204		You gotta put your behind in your past.	17	Jenna Gray
Rapunzel, Gifted with Healing	1	9e6a55b6b4563e652a23be9d623ca5055c356940	Character	["Storyborn", "Princess", "Hero"]	LEGENDARY	AMBER	4	True	1	5	2	[]	1 TFC EN 18/204	GLEAM AND GLOW When you play this character, remove up to 3 damage from one of your characters. Draw a card for each 1 damage removed this way.		18	Jochem Van Gool
Sebastian, Court Composer	1	b3f0c7f6bb763af1be91d9e74eabfeb199dc1f1f	Character	["Ally", "Storyborn"]	COMMON	AMBER	2	True	2	2	1	["Singer"]	1 TFC EN 19/204	Singer 4 (This character counts as cost 4 to sing songs.)	I should be writing symphonies, not tagging along after some headstrong teenager.	19	Isaiah Mesq
Simba, Protective Cub	1	91032ad7bbcb6cf72875e8e8207dcfba80173f7c	Character	["Storyborn", "Prince", "Hero"]	COMMON	AMBER	2	True	2	3	1	["Bodyguard"]	1 TFC EN 20/204	Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)	Courage comes in all sizes.	20	Filipe Laurentino
Stitch, Carefree Surfer	1	472b07b9fcf2c2451e8781e944bf5f77cd8457c8	Character	["Hero", "Dreamborn", "Alien"]	LEGENDARY	AMBER	7	True	4	8	2	[]	1 TFC EN 21/204	OHANA When you play this character, if you have 2 or more other characters in play, you may draw 2 cards.	So you’re from outer space, huh? I hear the surfing’s choice. —David	21	Marcel Berg
Stitch, New Dog	1	12c6fc06c99a462375eeb3f43dfd832b08ca9e17	Character	["Storyborn", "Hero", "Alien"]	COMMON	AMBER	1	True	2	2	1	[]	1 TFC EN 22/204		Lilo: David! I got a new dog! David: Auwe!... You sure it’s a dog? Lilo: Uh-huh. He used to be a collie before he got ran over.	22	Alex Accorsi
Stitch, Rock Star	1	d435a6cdd786300dff204ee7c2ef942d3e9034e2	Character	["Floodborn", "Hero", "Alien"]	SUPER	AMBER	6	True	3	5	3	["Shift"]	1 TFC EN 23/204	Shift 4 (You may pay 4 to play this on top of one of your characters named Stitch.) ADORING FANS Whenever you play a character with cost 2 or less, you may exert them to draw a card.	The best part about a beachside concert is that there’s always room for one more.	23	Simangaliso Sibaya
Timon, Grub Rustler	1	4d134bc072212ace2df385dae143139da74ec0ef	Character	["Ally", "Storyborn"]	COMMON	AMBER	1	True	1	2	1	[]	1 TFC EN 24/204	TASTES LIKE CHICKEN When you play this character, you may remove up to 1 damage from chosen character.	There’s all manner of tasty treats in the world—ya just gotta know where to look.	24	Juan Diego Leon
Be Our Guest	1	f6e1126cedebf23e1463aee73f9df08783640400	Action	["Song"]	UNCOMMON	AMBER	2	True				[]	1 TFC EN 25/204	(A character with cost 2 or more can to sing this song for free.) Look at the top 4 cards of your deck. You may reveal a character card and put it into your hand. Put the rest on the bottom of your deck in any order.		25	R. La Barbera / L. Giammichele
Control Your Temper!	1	887309d048beef83ad3eabf2a79a64a389ab1c9f	Action	[]	COMMON	AMBER	1	True				[]	1 TFC EN 26/204	Chosen character gets –2 this turn.		26	Amber Kommavongsa
Hakuna Matata	1	bc33ea4e26e5e1af1408321416956113a4658763	Action	["Song"]	COMMON	AMBER	4	True				[]	1 TFC EN 27/204	(A character with cost 4 or more can to sing this song for free.) Remove up to 3 damage from each of your characters.	What a wonderful phrase!	27	Juan Diego Leon
Healing Glow	1	0a57cb53ba59c46fc4b692527a38a87c78d84028	Action	[]	COMMON	AMBER	1	True				[]	1 TFC EN 28/204	Remove up to 2 damage from chosen character.	Don’t freak out! —Rapunzel	28	Philipp Kruse
Just in Time	1	7719a1c782a1ba91c031a682a0a2f8658209adbf	Action	[]	RARE	AMBER	3	False				[]	1 TFC EN 29/204	You may play a character with cost 5 or less for free.	The best heroes always arrive at the perfect moment—whether they know it or not.	29	Leonardo Giammichele
Part of Your World	1	22d200f8670dbdb3e253a90eee5098477c95c23d	Action	["Song"]	RARE	AMBER	3	False				[]	1 TFC EN 30/204	(A character with cost 3 or more can to sing this song for free.) Return a character card from your discard to your hand.	What would I give If I could live out of these waters?	30	Samanta Erdini
You Have Forgotten Me	1	632667547e7cd3e0466547863e1207a8c0c0c549	Action	[]	UNCOMMON	AMBER	4	True				[]	1 TFC EN 31/204	Each opponent chooses and discards 2 cards.	You are more than what you have become. —Mufasa	31	Alice Pisoni
Dinglehopper	1	cb4e5208b4cd87268b208e49452ed6e89a68e0b8	Item	[]	COMMON	AMBER	1	True				[]	1 TFC EN 32/204	STRAIGHTEN HAIR Remove up to 1 damage from chosen character.	Enjoy the finest of human hairstyles!	32	Eri Welli
Lantern	1	b6692ea5df920cad691c20319a6fffd7a4a766b8	Item	[]	RARE	AMBER	2	False				[]	1 TFC EN 33/204	BIRTHDAY LIGHTS less for the next character you play this turn.	Lanterns fill the sky on one special night, beacons of hope and love.	33	Eri Welli
Ursula’s Shell Necklace	1	f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59	Item	[]	RARE	AMBER	3	False				[]	1 TFC EN 34/204	NOW, SING! Whenever you play a song, you may pay 1 to draw a card.	Singing is a lovely pastime... if you’ve got the voice for it. —Ursula	34	Jenna Gray
Anna, Heir to Arendelle	1	972a67c48192728a34979d9a35164c1295401b71	Character	["Storyborn", "Queen", "Hero"]	UNCOMMON	AMETHYST	4	True	2	4	2	[]	1 TFC EN 35/204	'LOVING HEART When you play this character, if you have a character named Elsa in play, choose an opposing character. The chosen character doesn''t ready at the start of their next turn.'	Two sisters, one mind.	35	Valerio Buonfantino
Archimedes, Highly Educated Owl	1	fc074d501302eb2b93e2554793fcaf50b3bf7291	Character	["Ally", "Dreamborn"]	COMMON	AMETHYST	1	True	2	2	1	[]	1 TFC EN 36/204		Flying is not merely some crude, mechanical process. It is a delicate art. Purely aesthetic. Poetry of motion. And the best way to learn it is to do it! 	36	Kendall Hale
Dr. Facilier, Agent Provocateur	1	cb7a1d775e800fd1ee4049f7dca9e041eb9ba083	Character	["Sorcerer", "Villain", "Floodborn"]	RARE	AMETHYST	7	False	4	5	3	["Shift"]	1 TFC EN 37/204	Shift 5 (You may pay 5 to play this on top of one of your characters named Dr. Facilier.) INTO THE SHADOWS Whenever one of your other characters is banished in a challenge, you may return that card to your hand.		37	Isaiah Mesq
Dr. Facilier, Charlatan	1	5b384ce32d8cdef02bc3a139d4cac0a22bb029e8	Character	["Storyborn", "Villain", "Sorcerer"]	COMMON	AMETHYST	2	True	0	4	1	["Challenger"]	1 TFC EN 38/204	Challenger +2 (While challenging, this character gets +2.)	Enchantée. A tip of the hat from Dr. Facilier.	38	Grace Tran
Dr. Facilier, Remarkable Gentleman	1	ca3512f4dfa95a03169c5a670a4c91a19b3077b4	Character	["Storyborn", "Villain", "Sorcerer"]	RARE	AMETHYST	3	True	2	4	1	[]	1 TFC EN 39/204	DREAMS MADE REAL Whenever you play a song, you may look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom.		39	Cam Kendell
Elsa, Queen Regent	1	af3e133428b9e25c55bc59fe534248e6a0c0f17b	Character	["Storyborn", "Sorcerer", "Queen", "Hero"]	COMMON	AMETHYST	4	True	4	4	1	[]	1 TFC EN 40/204		I never knew what I was capable of.	40	Aubrey Archer
Elsa, Snow Queen	1	761f22b2c1593d0bb87e0b606f990ba4974706de	Character	["Sorcerer", "Queen", "Hero", "Dreamborn"]	UNCOMMON	AMETHYST	3	True	2	3	1	[]	1 TFC EN 41/204	FREEZE Exert chosen opposing character.	Recreated by magical ink, Elsa found herself in an entirely new world. Fortunately, ice works the same way everywhere.	41	Nicholas Kole
Elsa, Spirit of Winter	1	92cfceb39d57d914ed8b14d0e37643de0797ae56	Character	["Floodborn", "Sorcerer", "Queen", "Hero"]	LEGENDARY	AMETHYST	8	False	4	6	3	["Shift"]	1 TFC EN 42/204	'Shift 6 (You may pay 6 to play this on top of one of your characters named Elsa.) DEEP FREEZE When you play this character, exert up to 2 chosen characters. They can''t ready at the start of their next turn.'	Ice is stronger than you may think.	42	Matthew Robert Davies
Flotsam, Ursula’s Spy	1	0286dd552c9bea9a69ecb3759e7b94777635514b	Character	["Ally", "Storyborn"]	RARE	AMETHYST	5	False	3	4	2	["Rush"]	1 TFC EN 43/204	'Rush (This character can challenge the turn they''re played.) DEXTEROUS LUNGE Your characters named Jetsam gain Rush.'	We know someone who can help you. . . for a price.	43	Luis Huerta
Jafar, Keeper of Secrets	1	98fbc42faedc02492397cb5962ea3a3ffc0a9243	Character	["Villain", "Dreamborn", "Sorcerer"]	RARE	AMETHYST	4	True	0	5	2	[]	1 TFC EN 44/204	HIDDEN WONDERS This character gets +1 for each card in your hand.	'There''s more than one way to bury secrets.'	44	Marcel Berg
Jafar, Wicked Sorcerer	1	fb644351560d8296fe6da332236b1f8d61b2828a	Character	["Villain", "Dreamborn", "Sorcerer"]	COMMON	AMETHYST	4	True	2	5	1	["Challenger"]	1 TFC EN 45/204	Challenger +3 (While challenging, this character gets +3.)	'Enough skulking about. It''s time to show that sniveling sultan what a sorcerer can do.'	45	Jake Parker
Jetsam, Ursula’s Spy	1	fe2ef495a1152561572949784c16bf23abb28057	Character	["Ally", "Storyborn"]	COMMON	AMETHYST	4	True	3	3	1	["Evasive"]	1 TFC EN 46/204	Evasive (Only characters with Evasive can challenge this character.) SINISTER SLITHER Your characters named Flotsam gain Evasive.	We can help you get anything you want.. . .	46	Brian Weisz
Magic Broom, Bucket Brigade	1	827bfc458708f0b442009c9c9836f7e4b65557fb	Character	["Broom", "Dreamborn"]	COMMON	AMETHYST	2	True	2	2	1	[]	1 TFC EN 47/204	'SWEEP When you play this character, you may shuffle a card from any discard into its player''s deck.'	In the immense story-forge known as the Great Illuminary, there is always work to be done.	47	Dav Augereau
Maleficent, Biding Her Time	1	64e095fe763fc62418378753f9402623bea9e227	Character	["Villain", "Dreamborn", "Sorcerer"]	RARE	AMETHYST	1	False	1	1	2	[]	1 TFC EN 48/204		One mustn’t rush these things, or the greatest plan might come to nothing.	48	Grace Tran
Maleficent, Sorceress	1	2e01e17467891f7c933dbaa00e1459d23db3fe4f	Character	["Storyborn", "Villain", "Sorcerer"]	COMMON	AMETHYST	3	True	2	2	1	[]	1 TFC EN 49/204	CAST MY SPELL! When you play this character, you may draw a card.	You dare challenge me? Fool, my magic is more powerful than you could possibly imagine!	49	Valerio Buonfantino
Marshmallow, Persistent Guardian	1	e1822db470e60d090affd0956d743cb0e7cdf113	Character	["Ally", "Storyborn"]	SUPER	AMETHYST	6	False	5	5	1	[]	1 TFC EN 50/204	DURABLE When this character is banished in a challenge, you may return this card to your hand.	Hey! We were just talking about you! All good things, all good things. —Olaf	50	Kendall Hale /Kendall Hale Anh Dang
Mickey Mouse, Wayward Sorcerer	1	b7eb6c689c037217079766fdb77c3bac3e51cb4c	Character	["Sorcerer", "Dreamborn"]	SUPER	AMETHYST	4	True	3	4	2	[]	1 TFC EN 51/204	ANIMATE BROOM You pay 1 less to play Broom characters. CEASELESS WORKER Whenever one of your Broom characters is banished in a challenge, you may return that card to your hand.	He always goes for the clean sweep.	51	Nicholas Kole
Olaf, Friendly Snowman	1	a9334987ece78b6fe8bf130ef00b74847c1d3da6	Character	["Ally", "Storyborn"]	UNCOMMON	AMETHYST	1	True	1	3	1	[]	1 TFC EN 52/204		I’m Olaf and I like warm hugs!	52	Giulia Riva
Pascal, Rapunzel’s Companion	1	c5b76da3e608d34edb07244cd9b875ee86906328	Character	["Ally", "Storyborn"]	UNCOMMON	AMETHYST	1	True	1	1	1	[]	1 TFC EN 53/204	CAMOUFLAGE While you have another character in play, this character gains Evasive. (Only characters with Evasive can challenge them.)	A true friend is always there for you, whether you can see them or not.	53	Brian Weisz
Rafiki, Mysterious Sage	1	80e28a51cbc26fa4bd34938c5e593b36146f5e0c	Character	["Mentor", "Dreamborn", "Sorcerer"]	UNCOMMON	AMETHYST	3	False	3	3	1	["Rush"]	1 TFC EN 54/204	'Rush (This character can challenge the turn they''re played.)'	The past can hurt. But the way I see it, you can either run from it or learn from it.	54	Giulia Riva
Sven, Official Ice Deliverer	1	8effee409c625e1a2d8f5033631840e6ce1dcb64	Character	["Ally", "Storyborn"]	UNCOMMON	AMETHYST	6	True	5	7	1	[]	1 TFC EN 55/204		Reindeer comin’ through! —Kristoff	55	Jared Nickerl
The Queen, Wicked and Vain	1	54ceb91256e8190e474aa752a6e0650a2df5ba37	Character	["Storyborn", "Villain", "Queen"]	SUPER	AMETHYST	5	True	4	5	1	[]	1 TFC EN 56/204	I SUMMON THEE Draw a card.	Sublime beauty matched with peerless cunning. Is there any question who is fairest?	56	Matthew Robert Davies
The Wardrobe, Belle’s Confidant	1	9109c85a45b703f87f1413a405549a2cea9ab556	Character	["Ally", "Dreamborn"]	COMMON	AMETHYST	3	True	3	4	1	[]	1 TFC EN 57/204		When you simply must have the hautest couture.	57	Giulia Riva
Tinker Bell, Peter Pan’s Ally	1	667be543b02294b7624119adc3a725473df39885	Character	["Storyborn", "Ally", "Fairy"]	COMMON	AMETHYST	5	False	3	3	2	["Evasive"]	1 TFC EN 58/204	Evasive (Only characters with Evasive can challenge this character.) LOYAL AND DEVOTED Your characters named Peter Pan gain Challenger +1. (They get +1 while challenging.)		58	Adrianne Gumaya
Ursula, Power Hungry	1	5a5b0f9b7d3f8fc84c3cef8fd8efaaa6c70d75ab	Character	["Storyborn", "Villain", "Sorcerer"]	LEGENDARY	AMETHYST	7	False	2	8	3	[]	1 TFC EN 59/204	'IT''S TOO EASY! When you play this character, each opponent loses 1 lore. You may draw a card for each 1 lore lost this way.'	The first Rule of Villainy: If you’re going to be evil, you’ve got to have STYLE.	59	Simangaliso Sibaya
Yzma, Alchemist	1	e6c3dd630428fd54834172b8fd2735fed9416da4	Character	["Villain", "Dreamborn", "Sorcerer"]	COMMON	AMETHYST	2	True	2	2	1	[]	1 TFC EN 60/204	'YOU''RE EXCUSED Whenever this character quests, look at the top card of your deck. Put it on either the top or the bottom of your deck.'	When I want your opinion, I will give it to you!	60	Hadjie Joos
Zeus, God of Lightning	1	6c1e671f9af5b46d9c1a52067bdf0e53685674f7	Character	["Storyborn", "Deity"]	RARE	AMETHYST	4	False	0	4	2	["Challenger", "Rush"]	1 TFC EN 61/204	'Rush (This character can challenge the turn they''re played.) Challenger +4 (While challenging, this character gets +4.)'	A little lightning solves a whole lot of problems.	61	Koni
Befuddle	1	511a418e72591eb7e33f703f04c3fa16df6c90bd	Action	[]	UNCOMMON	AMETHYST	1	False				[]	1 TFC EN 62/204	'Return a character or item with cost 2 or less to their player''s hand.'	Never be afraid to have your mind boggled now and then.	62	Kendall Hale
Freeze	1	a17554a0d2b15a664c0e73900184544f19e70227	Action	[]	COMMON	AMETHYST	2	False				[]	1 TFC EN 63/204	Exert chosen opposing character.	'It''s time for you to chill.'	63	Cristian Romero
Friends on the Other Side	1	c66c65175fecc3103b3b587be9b5b230889c8628	Action	["Song"]	COMMON	AMETHYST	3	True				[]	1 TFC EN 64/204	(A character with cost 3 or more can to sing this song for free.) Draw 2 cards.	The cards, the cards the cards will tell...	64	Amber Kommavongsa
Reflection	1	2a459380709e2fe4ac2dae5733c73225ff6cfee1	Action	["Song"]	UNCOMMON	AMETHYST	1	True				[]	1 TFC EN 65/204	(A character with cost 1 or more can to sing this song for free.) Look at the top 3 cards of your deck. Put them back on the top of your deck in any order.	When will my reflection show Who I am inside?	65	Kevin Hong
Magic Mirror	1	59129aacfb6cebbe2c52f30ef3424209f7252e82	Item	[]	RARE	AMETHYST	2	False				[]	1 TFC EN 66/204	SPEAK! Draw a card.	What wouldst thou know, my Queen?	66	Andrew Trabbold
Ursula’s Cauldron	1	4d89d294cd4ca9f2ca57dc24a53ffb3ef5303122	Item	[]	UNCOMMON	AMETHYST	2	False				[]	1 TFC EN 67/204	PEER INTO THE DEPTHS Look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom.	Perfect for mixing potions and stealing voices.	67	Oleg Yurkov                
White Rabbit’s Pocket Watch	1	b4c96d80854dd27e76d8cc9e21960eebda52e962	Item	[]	RARE	AMETHYST	3	False				[]	1 TFC EN 68/204	'I''M LATE! Chosen character gains Rush this turn. (They can challenge the turn they''re played.)'	No wonder you’re late. Why, this watch is exactly two days slow. —The Mad Hatter	68	Kamil Murzyn
Aladdin, Prince Ali	1	a72b20062ec2c47ab2ceb97ac1bee818f8b6c6cb	Character	["Storyborn", "Prince", "Hero"]	COMMON	EMERALD	2	True	2	2	1	["Ward"]	1 TFC EN 69/204	'Ward (Opponents can''t choose this character except to challenge.)'	Fabulously wealthy. Practically untouchable. Genuinely inauthentic.	69	Lauren Walsh
Beast, Wolfsbane	1	b7103ca278a75cad8f7d065acda0c2e80da0b7dc	Character	["Prince", "Dreamborn", "Hero"]	LEGENDARY	EMERALD	5	False	4	4	2	["Rush"]	1 TFC EN 70/204	'Rush (This character can challenge the turn they''re played.) ROAR When you play this character, exert all opposing damaged characters.'	I’ll take on all of you if I have to!	70	Jeff Murchie
Cheshire Cat, Not All There	1	d02560dd9d7db4467627745bd6701e809ffca6e3	Character	["Storyborn"]	UNCOMMON	EMERALD	3	True	0	3	2	[]	1 TFC EN 71/204	LOSE SOMETHING? When this character is challenged and banished, banish the challenging character.	'You may have noticed that I''m not all there myself.'	71	Caner Soylu
Cruella De Vil, Miserable as Usual	1	c097638f92de80ba8d6c696b26e6e601a5f61eb7	Character	["Villain", "Storyborn"]	RARE	EMERALD	2	True	1	3	1	[]	1 TFC EN 72/204	'YOU''LL BE SORRY! When this character is challenged and banished, you may return chosen character to their player''s hand.'	When she stops by, misery is company.	72	Nicholas Kole
Duke of Weselton, Opportunistic Official	1	35e995c107a71caeb833bb3b79f9f54781b33fa1	Character	["Villain", "Storyborn"]	COMMON	EMERALD	1	False	2	2	1	[]	1 TFC EN 73/204		Sorcery! I knew there was something dubious going on here.	73	R. La Barbera / L. Giammichele
Flynn Rider, Charming Rogue	1	1f1362ea41d1bc65be321c0a378a20159f9a26d0	Character	["Storyborn", "Prince", "Hero"]	UNCOMMON	EMERALD	2	False	1	2	2	[]	1 TFC EN 74/204	HERE COMES THE SMOLDER Whenever this character is challenged, the challenging player chooses and discards a card.	I didn’t want to have to do this, but you leave me no choice.. . .	74	Leonardo Giammichele
Genie, On the Job	1	450ddec8dd206c2e2ab1aeeaa90e85e51753b8b7	Character	["Ally", "Storyborn"]	SUPER	EMERALD	6	False	3	4	2	["Evasive"]	1 TFC EN 75/204	'Evasive (Only characters with Evasive can challenge this character.) DISAPPEAR When you play this character, you may return chosen character to their player''s hand.'	Can your friends go ‘Abracadabra, let ’er rip’ and then make the sucker disappear?	75	Giulia Riva
Genie, Powers Unleashed	1	d54ad009d179ae346683cfc3603979bc99339ef7	Character	["Hero", "Floodborn"]	RARE	EMERALD	8	False	3	5	3	["Shift", "Evasive"]	1 TFC EN 76/204	Shift 6 (You may pay 6 to play this on top of one of your characters named Genie.) Evasive (Only characters with Evasive can challenge this character.) PHENOMENAL COSMIC POWER! Whenever this character quests, you may play an action with cost 5 or less for free.		76	Javier Salas
Genie, The Ever Impressive	1	d321d6f7ccf98b51540ec9d933f20898af3bd71e	Character	["Ally", "Dreamborn"]	COMMON	EMERALD	2	False	2	3	1	[]	1 TFC EN 77/204		You can wish for nearly anything! Do you want the short version, or should I give you the whole song and dance?	77	Matt Chapman
Hans, Scheming Prince	1	eb4ac3033e8ab3591e0fcefa8c26ce3fd36d5a0f	Character	["Storyborn", "Prince", "Villain"]	RARE	EMERALD	4	False	3	3	3	[]	1 TFC EN 78/204		Rules are like older siblings. All they do is get in the way.	78	Massimiliano Narciso
Horace, No-Good Scoundrel	1	b74f5ee9461495ba5ca4c72a7108a23904c27a05	Character	["Ally", "Storyborn"]	COMMON	EMERALD	3	True	4	3	1	[]	1 TFC EN 79/204		Well, they ain’t in here, Jasper.	79	Isaiah Mesq
Iago, Loud-Mouthed Parrot	1	b888b29826bb53dc531437e723738383d8339b56	Character	["Ally", "Storyborn"]	RARE	EMERALD	3	False	1	4	1	[]	1 TFC EN 80/204	'YOU GOT A PROBLEM? Chosen character gains Reckless during their next turn. (They can''t quest and must challenge if able.)'		80	Brian Weisz
Jasper, Common Crook	1	1d513c0bcbe33b2e7440e5e14d0b22ef95c9d673	Character	["Ally", "Storyborn"]	UNCOMMON	EMERALD	3	False	2	4	1	[]	1 TFC EN 81/204	'PUPPYNAPPING Whenever this character quests, chosen opposing character can''t quest during their next turn.'	Now, look here, Horace, I warned you about thinkin’.	81	Jochem Van Gool
John Silver, Alien Pirate	1	76546f9a641ede2beab506b96df1688d889e629a	Character	["Pirate", "Alien", "Villain", "Storyborn", "Captain"]	LEGENDARY	EMERALD	6	False	5	5	2	[]	1 TFC EN 82/204	'PICK YOUR FIGHTS When you play this character and whenever he quests, chosen opposing character gains Reckless during their next turn. (They can''t quest and must challenge if able.)'	'Don''t be too put off by this. . . hunk of hardware.'	82	 Jared Nickerl
Jumba Jookiba, Renegade Scientist	1	7d7116e23efef7292cad5e6f033d9a962708228c	Character	["Inventor", "Dreamborn", "Alien"]	UNCOMMON	EMERALD	5	False	4	5	2	[]	1 TFC EN 83/204		Created something? Ha! But that would be irresponsible and unethical. I would never, ever. . . make more than one.	83	Milica Celikovic
Kuzco, Temperamental Emperor	1	be461a0cd1fda052a69c3fd94f8cf5f6f86afa34	Character	["Storyborn", "King"]	RARE	EMERALD	5	False	2	4	3	["Ward"]	1 TFC EN 84/204	'Ward (Opponents can''t choose this character except to challenge.) NO TOUCHY! When this character is challenged and banished, you may banish the challenging character.'	I asked for emerald and that is clearly jade! What is wrong with you people?	84	Grace Tran
Lady Tremaine, Wicked Stepmother	1	1352246e33277e9d3c9090a434fa72cfa6536ae2	Character	["Villain", "Dreamborn"]	RARE	EMERALD	6	False	1	5	1	[]	1 TFC EN 85/204	DO IT AGAIN! When you play this character, you may return an action card from your discard to your hand.	If your chores are done, then clearly you don’t have enough of them.	85	Leonardo Giammichele
