Name	Set	ImageFile	Name FR	Type	Subtypes	Rarity	Color	Cost	Inkwell	Strength	Willpower	Quest	Abilities	Identifier	Rules	Flavor	Number	Artist
Stitch, New Dog	1	12c6fc06c99a462375eeb3f43dfd832b08ca9e17	STITCH, Nouveau chien	Character	Alien, Storyborn, Heros	COMMON	AMBER	1	True	2	2	1		1 TFC FR 22/204		Lilo: David, regarde, j'ai un chien. David: Ben voyons... euh t'es sure que c'est un chien, ca? Lilo: An-an. C'etait un chien de berger avant qu'il se fasse ecraser.	22	Alex Accorsi
Stitch, Rock Star	1	d435a6cdd786300dff204ee7c2ef942d3e9034e2	STITCH, Rock star	Character	Alien, Floodborn, Heros	SUPER	AMBER	6	True	3	5	3	Alter	1 TFC FR 23/204	Alter 4 (Vous pouvez payer 4 pour jouer ce personnage sur l'un de vos personnages Stitch.) FANS DECHAINES Chaque fois que vous jouez un personnage coutant 2 ou moins, vous pouvez tout de suite l'epuiser pour piocher une carte.	L'avantage d'un concert sur la plage, c'est qu'il y a toujours de la place pour accueillir plus de monde.	23	Simangaliso Sibaya
Timon, Grub Rustler	1	4d134bc072212ace2df385dae143139da74ec0ef	TIMON, Denicheur de larves	Character	Allie, Storyborn	COMMON	AMBER	1	True	1	2	1		1 TFC FR 24/204	UN PEU GLUANT MAIS APPETISSANT Lorsque vous jouez ce personnage, vous pouvez choisir un personnage et lui retirer 1 jeton Dommage.	Le monde regorge de plaisirs savoureux. Il suffit juste de savoir ou chercher.	24	Juan Diego Leon
Be Our Guest	1	f6e1126cedebf23e1463aee73f9df08783640400	C'EST LA FETE	Action	Chanson	UNCOMMON	AMBER	2	True					1 TFC FR 25/204	(Vous pouvez un personnage coutant 2 ou plus pour chanter cette chanson gratuitement.) Regardez les 4 premieres cartes de votre pioche. Vous pouvez reveler une carte personnage parmi elles et l'ajouter a votre main. Remettez les autres sous votre pioche, dans l'ordre de votre choix.		25	R. La Barbera / L. Giammichele
Control Your Temper!	1	887309d048beef83ad3eabf2a79a64a389ab1c9f	TRES MAUVAIS CARACTERE !	Action		COMMON	AMBER	1	True					1 TFC FR 26/204	Choisissez un personnage, il subit -2 pour le reste de ce tour.		26	Amber Kommavongsa
Hakuna Matata	1	bc33ea4e26e5e1af1408321416956113a4658763	HAKUNA MATATA	Action	Chanson	COMMON	AMBER	4	True					1 TFC FR 27/204	(Vous pouvez un personnage coutant 4 ou plus pour chanter cette chanson gratuitement.) Retirez jusqu'a 3 jetons Dommage de chacun de vos personnages.	Mais quelle phrase magnifique!	27	Juan Diego Leon
Healing Glow	1	0a57cb53ba59c46fc4b692527a38a87c78d84028	LUEUR REPARATRICE	Action		COMMON	AMBER	1	True					1 TFC FR 28/204	Choisissez un personnage et retirez-lui jusqu'a 2 jetons Dommage.	Ne vous affolez pas! - Raiponce.	28	Philipp Kruse
Just in Time	1	7719a1c782a1ba91c031a682a0a2f8658209adbf	JUSTE A TEMPS	Action		RARE	AMBER	3	False					1 TFC FR 29/204	Vous pouvez jouer gratuitement un personnage coutant 5 ou moins.	Les meilleurs heros arrivent toujours au bon moment, meme sans le savoir.	29	Leonardo Giammichele
Part of Your World	1	22d200f8670dbdb3e253a90eee5098477c95c23d	PARTIR LA-BAS	Action	Chanson	RARE	AMBER	3	False					1 TFC FR 30/204	(Vous pouvez un personnage coutant 3 ou plus pour chanter cette chanson gratuitement.) Reprenez en main une carte personnage de votre defausse.	Je donnerais tout ce que j'ai pour partir d'ici.	30	Samanta Erdini
You Have Forgotten Me	1	632667547e7cd3e0466547863e1207a8c0c0c549	TU M'AS OUBLIE	Action		UNCOMMON	AMBER	4	True					1 TFC FR 31/204	Chaque adversaire choisit 2 cartes de leur main et les defausse.	Tu vaux mieux que ce que tu es devenu. - Mufasa	31	Alice Pisoni
Dinglehopper	1	cb4e5208b4cd87268b208e49452ed6e89a68e0b8	ZIRGOUFLEX	Item		COMMON	AMBER	1	True					1 TFC FR 32/204	RATISSER LES POILS DE TETE - Choisissez un personnage et retirez-lui 1 jeton Dommage.	A vous les plus belles coupes de cheveux!	32	Eri Welli
Lantern	1	b6692ea5df920cad691c20319a6fffd7a4a766b8	LANTERNE	Item		RARE	AMBER	2	False					1 TFC FR 33/204	LUMIERES D'ANNIVERSAIRE de moins.	Une nuit par an, les lanternes illuminent le ciel, signes d'espoir et d'amour.	33	Eri Welli
Ursula's Shell Necklace	1	f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59	PENDENTIF EN COQUILLAGE D'URSULA	Item		RARE	AMBER	3	False					1 TFC FR 34/204	MAINTENANT, CHANTE! Chaque fois que vous jouez une chanson, vous pouvez payer 1 pour piocher une carte.	Chanter est un merveilleux passe-temps... a condition d'avoir la voix qu'il faut. - Ursula	34	Jenna Gray
Anna, Heir to Arendelle	1	972a67c48192728a34979d9a35164c1295401b71	ANNA, Heritiere d'Arendelle	Character	Heros, Storyborn, Reine	UNCOMMON	AMETHYST	4	True	2	4	2		1 TFC FR 35/204	AMOUR SINCERE Si vous avez un personnage Elsa en jeu lorsque vous jouez ce personnage, vous pouvez choisir un personnage adverse. Celui-ci ne sera pas redresse au debut de son prochain tour.	Deux soeurs, deux ames synchronisees.	35	Valerio Buonfantino
Archimedes, Highly Educated Owl	1	fc074d501302eb2b93e2554793fcaf50b3bf7291	ARCHIMEDE, Hibou extremement instruit	Character	Allie, Dreamborn	COMMON	AMETHYST	1	True	2	2	1		1 TFC FR 36/204		Voler a toujours ete plus que l'application de principes mecaniques. C'est un art delicat. Purement esthetique. De la poesie en mouvement. Et la meilleure facon de l'acquerir, c'est de l'exercer.	36	Kendall Hale
Dr. Facilier, Agent Provocateur	1	cb7a1d775e800fd1ee4049f7dca9e041eb9ba083	DR. FACILIER, Agent provocateur	Character	Floodborn, Mage, Mechant	RARE	AMETHYST	7	False	4	5	3	Alter	1 TFC FR 37/204	"Alter 5 (Vous pouvez payer 5 pour jouer ce personnage sur l'un de vos personnages Dr. Facilier.) VERS LES OMBRES Vos autres personnages gagnent: ""Lorsque ce personnage est banni via un defi, vous pouvez le reprendre en main."""		37	Isaiah Mesq
Dr. Facilier, Charlatan	1	5b384ce32d8cdef02bc3a139d4cac0a22bb029e8	DR. FACILIER, Charlatan	Character	Storyborn, Mage, Mechant	COMMON	AMETHYST	2	True	0	4	1	Offensif	1 TFC FR 38/204	Offensif +2 (Lorsqu'il defie, ce personnage gagne +2.)	Enchante. Et chapeau bas de la part du Dr. Facilier.	38	Grace Tran
Dr. Facilier, Remarkable Gentleman	1	ca3512f4dfa95a03169c5a670a4c91a19b3077b4	DR. FACILIER, Etrange gentleman	Character	Storyborn, Mage, Mechant	RARE	AMETHYST	3	True	2	4	1		1 TFC FR 39/204	REVES REALISES Lorsque vous jouez une chanson, vous pouvez regarder les 2 premieres cartes de votre pioche. Remettez-en une sur le dessus de votre pioche et l'autre en dessous.		39	Cam Kendell
Elsa, Queen Regent	1	af3e133428b9e25c55bc59fe534248e6a0c0f17b	ELSA, Reine regente	Character	Heros, Storyborn, Reine, Mage	COMMON	AMETHYST	4	True	4	4	1		1 TFC FR 40/204		Je ne savais pas moi-meme que c'etait possible.	40	Duyen Nguyen / Aubrey Archer
Elsa, Snow Queen	1	761f22b2c1593d0bb87e0b606f990ba4974706de	ELSA, Reine des Neiges	Character	Dreamborn, Heros, Reine, Mage	UNCOMMON	AMETHYST	3	True	2	3	1		1 TFC FR 41/204	GELER - Choisissez un personnage adverse et epuisez-le.	Recreee par l'encre magique, Elsa se retrouva dans un monde entierement nouveau. Par chance, la glace fonctionne partout de la meme maniere.	41	Nicholas Kole
Elsa, Spirit of Winter	1	92cfceb39d57d914ed8b14d0e37643de0797ae56	ELSA, Esprit de l'hiver	Character	Heros, Reine, Floodborn, Mage	LEGENDARY	AMETHYST	8	False	4	6	3	Alter	1 TFC FR 42/204	Alter 6 (Vous pouvez payer 6 pour jouer ce personnage sur l'un de vos personnages Elsa.) GEL INTENSE Lorsque vous jouez ce personnage, choisissez jusqu'a 2 personnages et epuisez-les. Ils ne peuvent pas etre redresses au debut de leur prochain tour.	La glace est plus solide que tu ne le penses.	42	Matthew Robert Davies
Flotsam, Ursula's Spy	1	0286dd552c9bea9a69ecb3759e7b94777635514b	FLOTSAM, Espion d'Ursula	Character	Allie, Storyborn	RARE	AMETHYST	5	False	3	4	2	Charge	1 TFC FR 43/204	Charge (Ce personnage peut defier le tour ou il est joue.) COUP BAS Vos personnages Jetsam gagnent Charge.	Nous connaissons quelqu'un qui peut t'aider... a certaines conditions.	43	Luis Huerta
Jafar, Keeper of Secrets	1	98fbc42faedc02492397cb5962ea3a3ffc0a9243	JAFAR, Gardien des Secrets	Character	Dreamborn, Mage, Mechant	RARE	AMETHYST	4	True	0	5	2		1 TFC FR 44/204	MERVEILLES CACHEES La de ce personnage augmente de 1 par carte dans votre main.	Il existe plusieurs manieres d'enterrer des secrets.	44	Marcel Berg
Jafar, Wicked Sorcerer	1	fb644351560d8296fe6da332236b1f8d61b2828a	JAFAR, Sorcier malefique	Character	Dreamborn, Mage, Mechant	COMMON	AMETHYST	4	True	2	5	1	Offensif	1 TFC FR 45/204	Offensif +3 (Lorsqu'il defie, ce personnage gagne +3.)	Fini de se cacher. Il est temps de montrer a ce sultan pleurnichard ce dont est capable un sorcier.	45	Jake Parker
Jetsam, Ursula's Spy	1	fe2ef495a1152561572949784c16bf23abb28057	JETSAM, Espion d'Ursula	Character	Allie, Storyborn	COMMON	AMETHYST	4	True	3	3	1	Insaisissable	1 TFC FR 46/204	Insaisissable (Seuls les personnages avec Insaisissable peuvent defier ce personnage.) SINISTRE ONDULATION Vos personnages Flotsam gagnent Insaisissable.	Nous pouvons t'aider a obtenir tout ce que tu desires.	46	Brian Weisz
Magic Broom, Bucket Brigade	1	827bfc458708f0b442009c9c9836f7e4b65557fb	BALAIS MAGIQUES, Armes de seaux	Character	Balai, Dreamborn	COMMON	AMETHYST	2	True	2	2	1		1 TFC FR 47/204	BALAYER Lorsque vous jouez ce personnage, vous pouvez remelanger une carte de la defausse de n'importe quel joueur dans sa pioche.	Dans l'immense fabrique a histoires, connue sous le nom de Grand Illuminarium, le travail ne manque pas.	47	Dav Augereau / Giulia Riva
Maleficent, Biding Her Time	1	64e095fe763fc62418378753f9402623bea9e227	MALEFIQUE, Attendant son heure	Character	Dreamborn, Mage, Mechant	RARE	AMETHYST	1	False	1	1	2		1 TFC FR 48/204		Il ne faut jamais precipiter les choses, au risque de faire echouer le meilleur des plans.	48	Grace Tran
Maleficent, Sorceress	1	2e01e17467891f7c933dbaa00e1459d23db3fe4f	MALEFIQUE, Sorciere	Character	Storyborn, Mage, Mechant	COMMON	AMETHYST	3	True	2	2	1		1 TFC FR 49/204	SORTILEGE Lorsque vous jouez ce personnage, vous pouvez piochez une carte.	Tu oses me defier? Pauvre fou, ma magie est encore plus puissante que tu ne pourrais jamais l'imaginer!	49	Valerio Buonfantino
Marshmallow, Persistent Guardian	1	e1822db470e60d090affd0956d743cb0e7cdf113	GUIMAUVE, Gardien tenace	Character	Allie, Storyborn	SUPER	AMETHYST	6	False	5	5	1		1 TFC FR 50/204	NEIGE ETERNELLE Lorsque ce personnage est banni via un defi, vous pouvez reprendre cette carte en main.	Ah, on parlait de toi, justement... On disait que du bien, que du bien. - Olaf	50	Kendall Hale / Anh Dang
Mickey Mouse, Wayward Sorcerer	1	b7eb6c689c037217079766fdb77c3bac3e51cb4c	MICKEY MOUSE, Sorcier renegat	Character	Mage, Dreamborn	SUPER	AMETHYST	4	True	3	4	2		1 TFC FR 51/204	ANIMER LES BALAIS Les personnages Balai vous coutent 1 de moins a jouer. TRAVAILLEUR INFATIGABLE Si l'un de vos personnages Balai est banni via un defi, vous pouvez le reprendre en main.	Les problemes? Il les balaie!	51	Nicholas Kole
Olaf, Friendly Snowman	1	a9334987ece78b6fe8bf130ef00b74847c1d3da6	OLAF, Gentil bonhomme de neige	Character	Allie, Storyborn	UNCOMMON	AMETHYST	1	True	1	3	1		1 TFC FR 52/204		Je m'appelle Olaf, j'aime les gros calins.	52	Giulia Riva
Pascal, Rapunzel's Companion	1	c5b76da3e608d34edb07244cd9b875ee86906328	PASCAL, Compagnon de Raiponce	Character	Allie, Storyborn	UNCOMMON	AMETHYST	1	True	1	1	1		1 TFC FR 53/204	CAMOUFLAGE Tant que vous avez un autre personnage en jeu, ce personnage gagne Insaisissable. (Seuls les personnages avec Insaisissable peuvent le defier.)	Un veritable ami est toujours la pour toi, que tu le voies ou non.	53	Brian Weisz
Rafiki, Mysterious Sage	1	80e28a51cbc26fa4bd34938c5e593b36146f5e0c	RAFIKI, Mysterieux sage	Character	Dreamborn, Mage, Mentor	UNCOMMON	AMETHYST	3	False	3	3	1	Charge	1 TFC FR 54/204	Charge (Ce personnage peut defier le tour ou il est joue.)	Mais oui, le passe, c'est douloureux. Mais a mon sens, on peut soit le fuir, soit tout en apprendre.	54	Giulia Riva
Sven, Official Ice Deliverer	1	8effee409c625e1a2d8f5033631840e6ce1dcb64	SVEN, Fournisseur officiel de glace	Character	Allie, Storyborn	UNCOMMON	AMETHYST	6	True	5	7	1		1 TFC FR 55/204		Attention, un renne sur la glace! -- Kristoff	55	Jared Nickerl
The Queen, Wicked and Vain	1	54ceb91256e8190e474aa752a6e0650a2df5ba37	LA REINE, Vaniteuse et malfaisante	Character	Storyborn, Mechant, Reine	SUPER	AMETHYST	5	True	4	5	1		1 TFC FR 56/204	JE TE L'ORDONNE - Piochez une carte.	Une beaute sublime associee a une perfidie sans pareil. Faut-il vraiment demander qui est la plus belle?	56	Matthew Robert Davies
The Wardrobe, Belle's Confidant	1	9109c85a45b703f87f1413a405549a2cea9ab556	MADAME DE GARDEROBE, Confidente de Belle	Character	Allie, Dreamborn	COMMON	AMETHYST	3	True	3	4	1		1 TFC FR 57/204		Toujours presente quand tu as besoin du meilleur de la mode.	57	Giulia Riva
Tinker Bell, Peter Pan's Ally	1	667be543b02294b7624119adc3a725473df39885	LA FEE CLOCHETTE, Alliee de Peter Pan	Character	Fee, Storyborn, Allie	COMMON	AMETHYST	5	False	3	3	2	Insaisissable	1 TFC FR 58/204	Insaisissable (Seuls les personnages avec Insaisissable peuvent defier ce personnage.) LOYALE ET DEVOUEE Vos personnages Peter Pan gagnent Offensif + 1. (Ils gagnent +1 lorsqu'ils defient.)		58	Adrianne Gumaya
Ursula, Power Hungry	1	5a5b0f9b7d3f8fc84c3cef8fd8efaaa6c70d75ab	URSULA, Assoiffee de pouvoir	Character	Storyborn, Mage, Mechant	LEGENDARY	AMETHYST	7	False	2	8	3		1 TFC FR 59/204	C'EST TROP BEAU! Lorsque vous jouez ce personnage, chaque adversaire perd 1 eclat de Lore. Vous pouvez piochez une carte par eclat de Lore perdu de cette facon.	Premiere regle de la mechancete: Si tu dois devenir diabolique, fais-le avec style.	59	Simangaliso Sibaya
Yzma, Alchemist	1	e6c3dd630428fd54834172b8fd2735fed9416da4	YZMA, Alchimiste	Character	Dreamborn, Mage, Mechant	UNCOMMON	AMETHYST	2	True	2	2	1		1 TFC FR 60/204	T'ES VIRE Lorsque ce personnage est envoye a l'aventure, regardez la premiere carte de votre pioche. Remettez-la soit sur le dessus de votre pioche, soit en dessous.	Quand je voudrai ton avis, je te dirai ce que tu dois me dire!	60	Hadjie Joos
Zeus, God of Lightning	1	6c1e671f9af5b46d9c1a52067bdf0e53685674f7	ZEUS, Dieu de la Foudre	Character	Dieu, Storyborn	RARE	AMETHYST	4	False	0	4	2	Offensif, Charge	1 TFC FR 61/204	Charge (Ce personnage peut defier le tour ou il est joue.) Offensif +4 (Lorsqu'il defie, ce personnage gagne +4.)	Un petit eclair peut resoudre bien des problemes.	61	Koni
Befuddle	1	511a418e72591eb7e33f703f04c3fa16df6c90bd	EMBERLIFICOTAGE	Action		UNCOMMON	AMETHYST	1	True					1 TFC FR 62/204	Renvoyez un personnage ou un objet coutant 2 ou moins dans la main de son proprietaire.	Ne sois pas effraye d'etre stupefait de temps en temps.	62	Kendall Hale
Freeze	1	a17554a0d2b15a664c0e73900184544f19e70227	GEL	Action		COMMON	AMETHYST	2	False					1 TFC FR 63/204	Choisissez un personnage adverse et epuisez-le.	Je ne voudrais pas jeter un froid.	63	Cristian Romero
Friends on the Other Side	1	c66c65175fecc3103b3b587be9b5b230889c8628	MES AMIS DE L'AU-DELA	Action	Chanson	COMMON	AMETHYST	3	True					1 TFC FR 64/204	(Vous pouvez un personnage coutant 3 ou plus pour chanter cette chanson gratuitement.) Piochez 2 cartes.	Les cartes, les cartes, les cartes me revelent...	64	Amber Kommavongsa
Reflection	1	2a459380709e2fe4ac2dae5733c73225ff6cfee1	Reflexion	Action	Chanson	UNCOMMON	AMETHYST	1	True					1 TFC FR 65/204	(Vous pouvez un personnage coutant 1 ou plus pour chanter cette chanson gratuitement.) Regardez les 3 premieres cartes de votre pioche. Remettez-les sur le dessus de votre pioche, dans l'ordre de votre choix.	Perdu dans ces reflexions ou mon ame s'egare.	65	Kevin Hong
Magic Mirror	1	59129aacfb6cebbe2c52f30ef3424209f7252e82	MIROIR MAGIQUE	Item		RARE	AMETHYST	2	False					1 TFC FR 66/204	PARLE! - Piochez une carte.	Que veux-tu voir, ma Reine?	66	Andrew Trabbold
Ursula's Cauldron	1	4d89d294cd4ca9f2ca57dc24a53ffb3ef5303122	CHAUDRON D'URSULA	Item		UNCOMMON	AMETHYST	2	False					1 TFC FR 67/204	SURVEILLANCE DES PROFONDEURS - Regardez les 2 premieres cartes de votre pioche. Remettez-en une sur le dessus de votre pioche et l'autre en dessous.	Parfait pour preparer des potions et voler des voix.	67	Oleg Yurkov
White Rabbit's Pocket Watch	1	b4c96d80854dd27e76d8cc9e21960eebda52e962	MONTRE A GOUSSET	Item		RARE	AMETHYST	3	True					1 TFC FR 68/204	EN RETARD! - Choisissez un personnage, il gagne Charge pour le reste de ce tour. (Il peut defier le tour ou il est joue.)	Si vous croyez que ca m'etonne. Votre horloge est detraquee. Elle retarde de deux jours. -- Le Chapelier Fou	68	Kamil Murzyn
Aladdin, Prince Ali	1	a72b20062ec2c47ab2ceb97ac1bee818f8b6c6cb	Aladdin, Prince Ali	Character	Heros, Storyborn, Prince	COMMON	EMERALD	2	True	2	2	1	Hors d'atteinte	1 TFC FR 69/204	Hors d'atteinte (Les adversaires ne peuvent pas choisir ce personnage, hormis pour un defi.)	Fabuleusement riche. Pratiquement intouchable. Vraiment inauthentique.	69	Lauren Walsh
Beast, Wolfsbane	1	b7103ca278a75cad8f7d065acda0c2e80da0b7dc	LA BETE, Fleau des loups	Character	Dreamborn, Heros, Prince	LEGENDARY	EMERALD	5	False	4	4	2	Charge	1 TFC FR 70/204	Charge (Ce personnage peut defier le tour ou il est joue.) RUGISSEMENT Lorsque vous jouez ce personnage, epuisez tous les personnages adverses ayant des jetons Dommage.	Je vous affronterai tous s'il le faut.	70	Jeff Murchie
